dataset,protocol,model,representation,method,metric,value,rank,higher_is_better,n_models,n_seeds_expected,n_subjects_total,n_subjects_available,tie_rule,aggregation,representation_caution,inferential,source_csv
uci_har,leakage_reduced_mixed,cnn1d,raw_sensor_windows,raw,accuracy,0.9313519808356612,5.0,True,5,1,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,leakage_reduced_mixed,extra_trees,V1_official_features,raw,accuracy,0.9589197389019296,3.0,True,5,1,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,leakage_reduced_mixed,hist_gradient_boosting,V1_official_features,raw,accuracy,0.96281418416749,2.0,True,5,1,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,leakage_reduced_mixed,logistic,V1_official_features,raw,accuracy,0.9678933028715324,1.0,True,5,1,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,leakage_reduced_mixed,random_forest,V1_official_features,raw,accuracy,0.9521142793769044,4.0,True,5,1,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,leakage_reduced_mixed,cnn1d,raw_sensor_windows,raw,macro_f1,0.9326541852067955,5.0,True,5,1,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,leakage_reduced_mixed,extra_trees,V1_official_features,raw,macro_f1,0.9587845464333556,3.0,True,5,1,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,leakage_reduced_mixed,hist_gradient_boosting,V1_official_features,raw,macro_f1,0.9639235468199996,2.0,True,5,1,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,leakage_reduced_mixed,logistic,V1_official_features,raw,macro_f1,0.969431130197368,1.0,True,5,1,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,leakage_reduced_mixed,random_forest,V1_official_features,raw,macro_f1,0.9519156220233818,4.0,True,5,1,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,leakage_reduced_mixed,cnn1d,raw_sensor_windows,raw,brier,0.1020920156084174,5.0,False,5,1,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,leakage_reduced_mixed,extra_trees,V1_official_features,raw,brier,0.0966858014717815,4.0,False,5,1,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,leakage_reduced_mixed,hist_gradient_boosting,V1_official_features,raw,brier,0.0642567976633187,2.0,False,5,1,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
